# sensor:magnetometer
# Requested Sample Rate: 50 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:01:08:300,-23.68,5.33,-45.62,51.67
12:01:08:320,-23.03,6.31,-46.24,52.04
12:01:08:340,-23.12,6.31,-45.70,51.60
12:01:08:360,-23.33,6.11,-45.49,51.49
12:01:08:380,-23.35,6.00,-46.03,51.96
12:01:08:400,-24.12,5.92,-46.13,52.39
12:01:08:420,-23.33,6.37,-46.54,52.45
12:01:08:440,-23.02,6.50,-46.02,51.86
12:01:08:460,-23.34,6.01,-45.71,51.68
12:01:08:480,-23.55,5.89,-46.03,52.04
12:01:08:500,-23.03,6.14,-45.60,51.46
12:01:08:520,-23.52,5.92,-45.07,51.18
12:01:08:540,-23.44,6.17,-46.34,52.29
12:01:08:560,-23.79,6.33,-45.48,51.72
12:01:08:580,-23.11,6.58,-45.91,51.81
12:01:08:600,-23.55,5.89,-46.14,52.14
12:01:08:620,-23.73,5.80,-45.29,51.45
12:01:08:640,-23.27,5.92,-46.35,52.20
12:01:08:660,-23.24,6.03,-45.71,51.64
12:01:08:680,-23.39,5.45,-45.73,51.65
12:01:08:700,-23.74,5.87,-46.13,52.21
12:01:08:720,-23.68,5.25,-45.41,51.48
12:01:08:740,-23.22,6.30,-45.81,51.74
12:01:08:760,-23.86,5.50,-45.62,51.77
12:01:08:780,-23.20,6.58,-45.91,51.86
12:01:08:800,-23.94,5.77,-45.60,51.83
12:01:08:820,-23.13,6.39,-46.13,52.00
12:01:08:840,-23.53,6.16,-46.24,52.25
