# sensor:magnetometer
# Requested Sample Rate: 80 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:09:14:505,-23.17,5.76,-45.51,51.39
12:09:14:515,-23.50,5.09,-45.09,51.10
12:09:14:525,-23.31,5.20,-45.63,51.50
12:09:14:535,-22.40,5.66,-45.41,50.95
12:09:14:555,-23.80,4.87,-45.20,51.32
12:09:14:565,-23.97,5.12,-45.20,51.42
12:09:14:575,-23.63,4.71,-45.21,51.23
12:09:14:585,-22.97,5.78,-45.62,51.40
12:09:14:605,-23.00,5.50,-45.52,51.29
12:09:14:615,-23.67,5.09,-44.25,50.44
12:09:14:625,-23.73,4.51,-45.01,51.08
12:09:14:635,-23.68,5.16,-45.20,51.29
12:09:14:655,-23.42,4.90,-45.42,51.34
12:09:14:665,-23.69,4.98,-45.10,51.19
12:09:14:675,-23.42,4.73,-45.01,50.96
12:09:14:685,-23.36,5.48,-44.76,50.79
12:09:14:705,-23.18,5.40,-45.09,50.99
12:09:14:715,-23.18,5.58,-45.51,51.37
12:09:14:725,-23.52,4.72,-44.90,50.90
12:09:14:735,-23.69,5.16,-45.31,51.39
12:09:14:755,-23.81,4.78,-45.31,51.41
12:09:14:765,-22.61,5.47,-45.09,50.74
12:09:14:775,-23.55,5.72,-45.40,51.46
12:09:14:785,-23.09,5.39,-45.62,51.41
12:09:14:805,-22.98,5.60,-45.41,51.20
12:09:14:815,-22.97,5.61,-44.76,50.62
12:09:14:825,-23.42,4.82,-45.21,51.15
12:09:14:835,-22.88,5.61,-45.19,50.96
12:09:14:855,-23.63,4.62,-45.12,51.14
12:09:14:865,-23.75,5.43,-44.98,51.16
12:09:14:875,-23.50,5.17,-45.31,51.30
12:09:14:885,-23.79,4.88,-44.79,50.95
12:09:14:905,-23.67,5.34,-45.19,51.29
12:09:14:915,-23.59,5.00,-44.68,50.77
12:09:14:925,-23.57,5.37,-44.87,50.97
12:09:14:935,-23.41,5.09,-45.52,51.44
12:09:14:955,-23.59,5.08,-45.09,51.14
